,alpha,mfcc,model,number_of_bins,lower_freq,upper_freq,sample_rate,frame_step,frame_length,acuracy,size,latency
62,0.3,TRUE,ds_cnn,16,20,4000,16000,128,840,92.25,55.7,86.55825138
63,0.3,TRUE,ds_cnn,16,20,4000,16000,128,1020,91.625,55.714,85.84651947
64,0.3,TRUE,ds_cnn,16,20,4000,16000,320,640,90.25,55.69,41.4752841
65,0.3,TRUE,ds_cnn,16,20,4000,16000,320,840,93.125,55.664,41.27054214
66,0.3,TRUE,ds_cnn,16,20,4000,16000,320,1020,92.25,55.692,40.67171335
67,0.3,TRUE,ds_cnn,16,20,4000,16000,640,840,89.875,55.677,26.07110023
68,0.3,TRUE,ds_cnn,16,20,4000,16000,640,1020,88.25,55.639,26.39632225
69,0.3,TRUE,ds_cnn,16,20,4000,16000,840,1020,87.125,55.681,23.20755959
70,0.3,TRUE,ds_cnn,40,20,4000,16000,128,320,89.625,55.74,51.76057577
71,0.3,TRUE,ds_cnn,40,20,4000,16000,128,640,89.75,55.669,91.70167208
72,0.3,TRUE,ds_cnn,40,20,4000,16000,128,840,88.75,55.715,89.81887341
73,0.3,TRUE,ds_cnn,40,20,4000,16000,128,1020,89.125,55.728,91.00669861
74,0.3,TRUE,ds_cnn,40,20,4000,16000,320,640,90.875,55.708,43.15919638
75,0.3,TRUE,ds_cnn,40,20,4000,16000,320,840,91.25,55.727,43.33745718
76,0.3,TRUE,ds_cnn,40,20,4000,16000,320,1020,90.625,55.647,43.00972462
77,0.3,TRUE,ds_cnn,40,20,4000,16000,640,840,87.625,55.678,27.64621496
78,0.3,TRUE,ds_cnn,40,20,4000,16000,640,1020,89.25,55.678,27.79693604
79,0.3,TRUE,ds_cnn,40,20,4000,16000,840,1020,87.375,55.638,23.68141651
80,0.6,TRUE,cnn,16,20,4000,16000,128,320,92.5,394.236,47.26569653
81,0.6,TRUE,cnn,16,20,4000,16000,128,640,91.125,394.245,86.19437933
82,0.6,TRUE,cnn,16,20,4000,16000,128,840,92.5,394.235,86.03579283
83,0.6,TRUE,cnn,16,20,4000,16000,128,1020,92.5,394.041,85.05660295
84,0.6,TRUE,cnn,16,20,4000,16000,320,640,92.875,393.866,42.03556538
85,0.6,TRUE,cnn,16,20,4000,16000,320,840,91.875,393.929,41.08939886
86,0.6,TRUE,cnn,16,20,4000,16000,320,1020,92.875,394.036,41.96445227
87,0.6,TRUE,cnn,16,20,4000,16000,640,840,91,393.607,27.54059076
88,0.6,TRUE,cnn,16,20,4000,16000,640,1020,90.125,393.785,26.31768703
89,0.6,TRUE,cnn,16,20,4000,16000,840,1020,87.25,393.626,23.39986801
90,0.6,TRUE,cnn,40,20,4000,16000,128,320,91.375,394.133,54.12694931
91,0.6,TRUE,cnn,40,20,4000,16000,128,640,90.75,394.155,92.09658623
92,0.6,TRUE,cnn,40,20,4000,16000,128,840,93.125,394.143,92.65193224
93,0.6,TRUE,cnn,40,20,4000,16000,128,1020,91.875,394.01,91.97321415
94,0.6,TRUE,cnn,40,20,4000,16000,320,640,93.875,393.998,44.95160341
95,0.6,TRUE,cnn,40,20,4000,16000,320,840,91.375,393.948,44.19311047
96,0.6,TRUE,cnn,40,20,4000,16000,320,1020,94,393.991,43.24472189
97,0.6,TRUE,cnn,40,20,4000,16000,640,840,91.125,393.778,28.18839312
98,0.6,TRUE,cnn,40,20,4000,16000,640,1020,89.875,393.567,27.9261446
99,0.6,TRUE,cnn,40,20,4000,16000,840,1020,88.5,393.748,24.62483883
100,0.6,TRUE,ds_cnn,16,20,4000,16000,128,320,92.125,197.758,46.97089672
101,0.6,TRUE,ds_cnn,16,20,4000,16000,128,640,92,197.808,84.8740983
102,0.6,TRUE,ds_cnn,16,20,4000,16000,128,840,91.625,197.697,83.90572548
103,0.6,TRUE,ds_cnn,16,20,4000,16000,128,1020,93.25,197.787,86.7647028
104,0.6,TRUE,ds_cnn,16,20,4000,16000,320,640,93.875,197.698,42.70761728
105,0.6,TRUE,ds_cnn,16,20,4000,16000,320,840,93.5,197.682,42.17506647
106,0.6,TRUE,ds_cnn,16,20,4000,16000,320,1020,93.875,197.615,40.67433119
107,0.6,TRUE,ds_cnn,16,20,4000,16000,640,840,90.625,197.47,26.46969557
108,0.6,TRUE,ds_cnn,16,20,4000,16000,640,1020,88.875,197.544,26.57948494
109,0.6,TRUE,ds_cnn,16,20,4000,16000,840,1020,89.75,197.622,22.87387609
110,0.6,TRUE,ds_cnn,40,20,4000,16000,128,320,90.875,197.933,53.84860754
111,0.6,TRUE,ds_cnn,40,20,4000,16000,128,640,91.75,197.786,93.63483191
112,0.6,TRUE,ds_cnn,40,20,4000,16000,128,840,91.75,197.756,91.82401419
113,0.6,TRUE,ds_cnn,40,20,4000,16000,128,1020,92.875,197.879,90.70234776
114,0.6,TRUE,ds_cnn,40,20,4000,16000,320,640,92.75,197.657,44.79001045
115,0.6,TRUE,ds_cnn,40,20,4000,16000,320,840,93,197.595,43.74953985
116,0.6,TRUE,ds_cnn,40,20,4000,16000,320,1020,92.5,197.601,44.67194557
117,0.6,TRUE,ds_cnn,40,20,4000,16000,640,840,90.25,197.431,26.78499937
118,0.6,TRUE,ds_cnn,40,20,4000,16000,640,1020,88.875,197.693,28.48173618
119,0.6,TRUE,ds_cnn,40,20,4000,16000,840,1020,87.375,197.737,23.92480373
120,1,TRUE,cnn,16,20,4000,16000,128,320,91.5,1109.244,47.78924465
121,1,TRUE,cnn,16,20,4000,16000,128,640,92.75,1108.523,88.94423723
122,1,TRUE,cnn,16,20,4000,16000,128,840,92.625,1108.534,88.04178715
123,1,TRUE,cnn,16,20,4000,16000,128,1020,92.625,1108.656,89.25781965
124,1,TRUE,cnn,16,20,4000,16000,320,640,93.75,1108.473,42.69966602
125,1,TRUE,cnn,16,20,4000,16000,320,840,94,1107.891,40.59190035
126,1,TRUE,cnn,16,20,4000,16000,320,1020,93.625,1108.052,41.54855251
127,1,TRUE,cnn,16,20,4000,16000,640,840,91.125,1108.349,26.94656372
128,1,TRUE,cnn,16,20,4000,16000,640,1020,91.625,1108.088,27.96522379
129,1,TRUE,cnn,16,20,4000,16000,840,1020,89.375,1108.058,23.1251502
130,1,TRUE,cnn,40,20,4000,16000,128,320,91.5,1109.46,55.82760096
131,1,TRUE,cnn,40,20,4000,16000,128,640,90.625,1108.903,94.42557335
132,1,TRUE,cnn,40,20,4000,16000,128,840,93.125,1108.976,93.02966118
133,1,TRUE,cnn,40,20,4000,16000,128,1020,91.875,1108.924,93.89415264
134,1,TRUE,cnn,40,20,4000,16000,320,640,92,1108.839,46.24430895
135,1,TRUE,cnn,40,20,4000,16000,320,840,92.875,1108.31,46.68655872
136,1,TRUE,cnn,40,20,4000,16000,320,1020,93.125,1108.209,56.61179066
